i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Absorber,s_Water
0,0,0,0,6.202880759814333,7.39315759621551e-13,212.7659574468085,4.25531914893617e-14,1107.0483864642276,55555.555555555555
10,0.49999999999999994,0.02748856775835548,0.009698210252059771,6.502113083584621,7.749809902325896e-13,212.76595744680512,2.0262424767291712e-14,1107.0483864642276,55555.555555555555
20,1.0000000000000002,0.003449112454609597,0.008316295755143085,6.539876868369391,7.79482021659022e-13,212.7659574468017,1.7449282583125452e-14,1107.0483864642276,55555.555555555555
30,1.5000000000000007,0.00043497721300757254,0.00814275523671051,6.544642766403717,7.800500647444789e-13,212.7659574467983,1.7094258118037696e-14,1107.0483864642276,55555.555555555555
40,2.000000000000001,5.489854522761869e-05,0.008120867682871364,6.5452442608187535,7.801217563209545e-13,212.76595744679489,1.7049453346787477e-14,1107.0483864642276,55555.555555555555
50,2.499999999999999,6.936766662182885e-06,0.008118105643889024,6.54532019862326,7.801308072793392e-13,212.76595744679148,1.7043798961906314e-14,1107.0483864642276,55555.555555555555
60,2.9999999999999973,8.839668978675219e-07,0.008117757072140963,6.545329810063304,7.801319528582037e-13,212.76595744678806,1.7043085439204537e-14,1107.0483864642276,55555.555555555555
70,3.4999999999999956,1.200918182217781e-07,0.008117713081699103,6.545331050974448,7.80132100761283e-13,212.76595744678465,1.7042995463836675e-14,1107.0483864642276,55555.555555555555
80,3.999999999999994,2.3689058966943484e-08,0.00811770753001274,6.545331235506637,7.801321227555081e-13,212.76595744678124,1.7042984181470015e-14,1107.0483864642276,55555.555555555555
90,4.499999999999992,1.1522713930337884e-08,0.00811770682937834,6.54533128672117,7.801321288597221e-13,212.76595744677783,1.7042982830326803e-14,1107.0483864642276,55555.555555555555
100,4.99999999999999,9.987176343793058e-09,0.008117706740957019,6.545331321110358,7.801321329585384e-13,212.76595744677442,1.7042982732524172e-14,1107.0483864642276,55555.555555555555
110,5.4999999999999885,9.79327797209279e-09,0.008117706729798288,6.545331353375775,7.801321368042242e-13,212.765957446771,1.7042982792894814e-14,1107.0483864642276,55555.555555555555
120,5.999999999999987,9.768689791952188e-09,0.008117706728390265,6.5453313853727915,7.801321406179198e-13,212.7659574467676,1.7042982873226284e-14,1107.0483864642276,55555.555555555555
130,6.499999999999985,9.765475102173633e-09,0.0081177067282128,6.5453314173355635,7.801321444275337e-13,212.7659574467642,1.7042982956075876e-14,1107.0483864642276,55555.555555555555
140,6.999999999999983,9.764955416693435e-09,0.008117706728190639,6.545331449293631,7.801321482365869e-13,212.76595744676078,1.704298303924228e-14,1107.0483864642276,55555.555555555555
150,7.499999999999981,9.764771542979959e-09,0.008117706728188068,6.545331481250736,7.801321520455254e-13,212.76595744675737,1.7042983122447686e-14,1107.0483864642276,55555.555555555555
160,7.99999999999998,9.764634070701077e-09,0.008117706728187976,6.545331513207339,7.801321558544042e-13,212.76595744675396,1.7042983205657037e-14,1107.0483864642276,55555.555555555555
170,8.499999999999986,9.764499575364026e-09,0.008117706728188198,6.545331545163508,7.801321596632311e-13,212.76595744675055,1.7042983288865918e-14,1107.0483864642276,55555.555555555555
180,8.999999999999993,9.764369966093206e-09,0.008117706728188456,6.545331577119245,7.801321634720066e-13,212.76595744674714,1.7042983372073754e-14,1107.0483864642276,55555.555555555555
190,9.5,9.764237056304078e-09,0.008117706728188722,6.545331609074547,7.801321672807302e-13,212.76595744674373,1.7042983455280477e-14,1107.0483864642276,55555.555555555555
200,10.000000000000007,9.76410883843286e-09,0.008117706728188984,6.545331641029425,7.801321710894033e-13,212.76595744674032,1.7042983538486086e-14,1107.0483864642276,55555.555555555555
210,10.500000000000014,9.763977320043352e-09,0.008117706728189249,6.5453316729838695,7.801321748980246e-13,212.7659574467369,1.704298362169057e-14,1107.0483864642276,55555.555555555555
220,11.000000000000021,9.763846351742456e-09,0.008117706728189511,6.545331704937889,7.801321787065954e-13,212.7659574467335,1.7042983704893946e-14,1107.0483864642276,55555.555555555555
230,11.500000000000028,9.763714121479896e-09,0.008117706728189776,6.545331736891475,7.801321825151145e-13,212.76595744673008,1.7042983788096198e-14,1107.0483864642276,55555.555555555555
240,12.000000000000036,9.76358049982352e-09,0.008117706728190042,6.545331768844633,7.801321863235824e-13,212.76595744672667,1.7042983871297332e-14,1107.0483864642276,55555.555555555555
250,12.500000000000043,9.763449725676653e-09,0.008117706728190307,6.545331800797357,7.801321901319989e-13,212.76595744672326,1.704298395449734e-14,1107.0483864642276,55555.555555555555
260,13.00000000000005,9.763317592494012e-09,0.008117706728190573,6.545331832749652,7.801321939403641e-13,212.76595744671985,1.704298403769623e-14,1107.0483864642276,55555.555555555555
270,13.500000000000057,9.763186171190185e-09,0.008117706728190838,6.545331864701519,7.801321977486782e-13,212.76595744671644,1.7042984120894002e-14,1107.0483864642276,55555.555555555555
280,14.000000000000064,9.763057565037762e-09,0.0081177067281911,6.545331896652953,7.801322015569408e-13,212.76595744671303,1.704298420409065e-14,1107.0483864642276,55555.555555555555
290,14.500000000000071,9.762923360946343e-09,0.008117706728191364,6.54533192860396,7.801322053651525e-13,212.76595744670962,1.704298428728618e-14,1107.0483864642276,55555.555555555555
300,15.000000000000078,9.762792069080451e-09,0.00811770672819163,6.545331960554534,7.801322091733125e-13,212.7659574467062,1.7042984370480587e-14,1107.0483864642276,55555.555555555555
310,15.500000000000085,9.762661327303147e-09,0.008117706728191895,6.545331992504682,7.801322129814219e-13,212.7659574467028,1.7042984453673886e-14,1107.0483864642276,55555.555555555555
