i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
0,0,0,0,0.8390029130424784,1e-13,192.7659574468085,0.0,1960.8941677404896,41666.666666666664,0.003703703703703704
100,1.0000000000000007,0.007033577000868121,0.001548857949353404,9.226520238995915,1.0997006202907883e-12,192.76595744680372,4.125643266798664e-14,1960.8941677404896,41666.666666666664,0.0037036259264753716
200,2.0000000000000013,0.02363607847963591,0.002616449305813567,17.84078013648375,2.126426483046098e-12,192.765957446791,1.3490651194216506e-13,1960.8941677404896,41666.666666666664,0.0037035481504296133
300,2.99999999999998,0.036201749393410525,0.0034227974022817244,26.914870049664124,3.2079590703721857e-12,192.76595744676993,2.664596663519299e-13,1960.8941677404896,41666.666666666664,0.003703470375547816
400,3.9999999999999587,0.045771782975680866,0.004035896116630468,36.61903012331539,4.3645891514823315e-12,192.76595744674,4.277323293482919e-13,1960.8941677404896,41666.666666666664,0.0037033926018007935
500,4.999999999999938,0.05312307363026679,0.00450620124168749,47.0882229523178,5.612402796255682e-12,192.7659574467006,6.144029199258989e-13,1960.8941677404896,41666.666666666664,0.0037033148291513484
600,5.9999999999999165,0.0588322254023341,0.004871008947791736,58.43903328016237,6.965295635050432e-12,192.76595744665093,8.245395989000212e-13,1960.8941677404896,41666.666666666664,0.003703237057555654
700,6.999999999999895,0.06332138670829843,0.005157545072589611,70.78014467362091,8.436221564102481e-12,192.76595744659005,1.0577160961757118e-12,1960.8941677404896,41666.666666666664,0.003703159286963943
800,7.999999999999874,0.06689747795757342,0.005385561554757044,84.21896073631675,1.0037981921995233e-11,192.76595744651692,1.3144832562004773e-12,1960.8941677404896,41666.666666666664,0.003703081517320725
900,8.999999999999853,0.06978343308907578,0.005569382328615993,98.86592409935795,1.1783740266255258e-11,192.7659574464307,1.5960559850007474e-12,1960.8941677404896,41666.666666666664,0.003703003748564742
1000,9.999999999999831,0.07214175240732787,0.005719435551132847,114.83747390956653,1.3687374873705172e-11,192.76595744633,1.9041308834209797e-12,1960.8941677404896,41666.666666666664,0.003702925980628722
1100,10.99999999999981,0.07409168053998849,0.005843366226986644,132.25821275620018,1.576373701450395e-11,192.76595744621352,2.2407834431735915e-12,1960.8941677404896,41666.666666666664,0.0037028482134390016
